,0
0,ALBK
1,MVID
2,AFLT
3,GAZP
4,GLTR
5,VZRZP
6,MAIL
7,TATNP
8,IRAO
9,GMKN
10,VTBR
11,TUZA
12,MISBP
13,SBER
14,LKOH
15,SBERP
16,ALRS
17,PLZL
18,TATN
19,AFKS
20,POLY
21,FESH
22,SIBN
23,RUAL
24,SNGSP
25,YNDX
26,HYDR
27,NLMK
28,ENRU
29,RSTI
30,MGNT
31,TORSP
32,NVTK
33,SNGS
34,TRNFP
35,MTSS
36,LSRG
37,GCHE
38,CHMF
39,OBUV
40,ROSN
41,VSMO
42,KGKC
43,RDRB
44,ABRD
45,FLOT
46,OGKB
47,MAGN
48,TCSG
49,BELU
50,MISB
51,NVDA-RM
52,BSPB
53,DIOD
54,FEES
55,PHOR
56,UPRO
57,VGSB
58,MOEX
59,MTLRP
60,KGKCP
61,RTKMP
62,KLSB
63,QIWI
64,TRMK
65,FXCN
66,BANEP
67,TGKDP
68,FXMM
69,MTLR
70,AKRN
71,FXRL
72,RTKM
73,RUSI
74,RLMN
75,GRNT
76,POGR
77,MTEK
78,FXRW
79,KO-RM
80,BANE
81,AMD-RM
82,CHKZ
83,VRSBP
84,RU000A0JR282
85,RU000A0JR2C1
86,FXGD
87,RU000A0ERGA7
88,FIVE
89,RU000A0ZZ5R2
90,RU000A101NK4
91,AKCH
92,FXDE
93,AKMB
94,LNZL
95,FXIM
96,FXIT
97,FXKZ
98,NMTP
99,FXRU
100,AGRO
101,FXTB
102,FXUS
103,FXWO
104,RBCM
105,RUSB
106,FXRB
107,SBMX
108,TRUR
109,VTBB
110,VTBE
111,VTBM
112,VTBX
113,LNTA
114,GTLC
115,SBCB
116,SBSP
117,TMOS
118,MSST
119,VTBA
120,VTBG
121,VTBH
122,DASB
123,ODVA
124,PRFN
125,MERF
126,SMLT
127,RU000A0JR290
128,RLMNP
129,SIBG
130,RU000A0JX1H4
131,RUSE
132,SBGB
133,ACKO
134,RU000A101HY7
135,RU000A101YY2
136,ESGR
137,TUCH
138,LSNGP
139,AKME
140,ALNU
141,APTK
142,AQUA
143,ASSB
144,SCIP
145,SELGP
146,AMEZ
147,VTBY
148,AVAN
149,BISVP
150,BLNG
151,VTBU
152,SBRB
153,BRZL
154,CBOM
155,CHEP
156,VRSB
157,CHMK
158,CNTL
159,CNTLP
160,DSKY
161,DVEC
162,RU000A1027E5
163,RNFT
164,ENPG
165,ELTZ
166,EELT
167,ARSA
168,ETLN
169,OZON
170,AMGN-RM
171,CHGZ
172,GEMA
173,AKNX
174,DIVD
175,GTRK
176,IGST
177,PRMB
178,IRGZ
179,IRKT
180,ISKJ
181,JNOS
182,KAZT
183,KBSB
184,KMAZ
185,KROT
186,KZOS
187,GAZAP
188,KZOSP
189,HIMCP
190,LIFE
191,SBRI
192,FB-RM
193,FDX-RM
194,MCD-RM
195,IGSTP
196,NEM-RM
197,LNZLP
198,LPSB
199,T-RM
200,V-RM
201,KAZTP
202,KCHE
203,KCHEP
204,ZILL
205,RASP
206,HALS
207,DZRD
208,DZRDP
209,KRKN
210,KRKNP
211,KRKOP
212,YRSB
213,KRSB
214,MDMG
215,KMEZ
216,KOGK
217,MGNZ
218,KRSBP
219,MGTS
220,MGTSP
221,LSNG
222,MRKC
223,MRKK
224,MRKP
225,MRKV
226,LVHK
227,MAGE
228,MSNG
229,MSRS
230,TSLA-RM
231,KTSBP
232,KUZB
233,GAZA
234,NAUK
235,NKHP
236,NKNC
237,NKNCP
238,MRKU
239,MFGSP
240,NKSH
241,MRKY
242,MSTT
243,YKEN
244,NSVZ
245,HHRU
246,NFAZ
247,OKEY
248,MRKZ
249,PAZA
250,PIKK
251,NNSBP
252,JNOSP
253,KBTK
254,PMSBP
255,RTSB
256,PMSB
257,YKENP
258,RKKE
259,ROLO
260,ROSB
261,NNSB
262,RSTIP
263,RTSBP
264,RUGR
265,RZSB
266,SAGOP
267,RAVN
268,MFGS
269,SELG
270,SAREP
271,STSB
272,SVAV
273,SVET
274,RGSS
275,TGKA
276,ROST
277,TGKB
278,SFIN
279,UWGN
280,TGKBP
281,TGKN
282,TNSE
283,SARE
284,UNAC
285,USBN
286,UTAR
287,VGSBP
288,VLHZ
289,INGR
290,SLEN
291,KUBE
292,TTLK
293,STSBP
294,TGKD
295,MRSB
296,ZVEZ
297,URKZ
298,SAGO
299,VJGZ
300,VSYD
301,WTCM
302,WTCMP
303,MAGEP
304,YRSBP
305,MRKS
306,TORS
307,UKUZ
308,VJGZP
309,YAKG
310,TASBP
311,ABT-RM
312,ADBE-RM
313,AVGO-RM
314,NEE-RM
315,WMT-RM
316,COST-RM
317,TMUS-RM
318,UCSS
319,UNKL
320,TASB
321,FMUS
322,OMZZP
323,BABA-RM
324,DIS-RM
325,EA-RM
326,PFE-RM
327,QCOM-RM
328,TM-RM
329,XOM-RM
330,KTSB
331,KROTP
332,CRM-RM
333,GM-RM
334,AAPL-RM
335,AAL-RM
336,MU-RM
337,OPNW
338,JNJ-RM
339,F-RM
340,MRNA-RM
341,MRK-RM
342,AMZN-RM
343,MSFT-RM
344,GPBM
345,GPBS
346,RCMX
347,RCMB
348,SUGB
349,ABBV-RM
350,CSCO-RM
351,CMCSA-RM
352,INTC-RM
353,GE-RM
354,TWTR-RM
355,BA-RM
356,NFLX-RM
357,TGT-RM
358,VTRS-RM
359,BIIB-RM
360,BIDU-RM
361,IBM-RM
362,RU000A0JXP78
363,PG-RM
364,ORCL-RM
365,CVX-RM
366,HAL-RM
367,UBER-RM
368,PTR-RM
369,GPS-RM
370,TXN-RM
371,BRKB-RM
372,NKE-RM
373,REGN-RM
374,HPQ-RM
375,CAT-RM
376,ATVI-RM
377,BMY-RM
378,KHC-RM
379,PYPL-RM
380,SONY-RM
381,EBAY-RM
382,RTGZ
383,MA-RM
384,VZ-RM
385,TTWO-RM
386,GOOG-RM
387,CL-RM
388,NVS-RM
389,RU000A102408
390,RU000A102N77
391,DD-RM
392,RU000A0JNUM1
393,GILD-RM
394,M-RM
395,FCX-RM
396,BKR-RM
397,SBUX-RM
398,LMT-RM
399,HON-RM
400,UAL-RM
401,VSYDP
402,MMM-RM
403,HD-RM
404,RU000A0ZZCD8
405,RU000A0ZZVH9
406,RU000A0ZZVL1
407,RU000A0ZYC64
408,UNH-RM
409,RU000A102PF7
410,RU000A102PE0
411,BKNG-RM
412,IDVP
413,RU000A0JWAW3
414,RU000A101UY0
415,RU000A1002D0
416,BISV
417,KZMS
418,MORI
419,RU000A0JUR61
420,RU000A0ZYPM4
421,KUNF
422,GAZC
423,GAZT
